FECHA,TIPO,SERIE,NÚMERO,DOC ENTIDAD TIPO,DOC ENTIDAD NÚMERO,CLIENTE,MONEDA,TIPO DE CAMBIO,UNIDAD DE MEDIDA,SKU,PRODUCTO,CANT,VALOR UNITARIO,PRECIO UNITARIO,DESCUENTO,SUBTOTAL,TIPO DE IGV,IGV,TIPO DE ISC,ISC,IMPUESTO BOLSAS,IMPORTE,ANULADO
09/04/2025,03,BQQ1,17,-,-,VARIOS,PEN,0,NIU,5004,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON ,1,"1,3559322034","1,6",0,"1,3559322034",10,"0,2440677966",,0,0,"1,6",NO
09/04/2025,03,BQQ1,18,-,-,VARIOS,PEN,0,NIU,5064,GATILLO PULVERIZADOR 28/410 ,1,"1,6949152542",2,0,"1,6949152542",10,"0,3050847458",,0,0,2,NO
09/04/2025,01,FQQ1,5,6,20553639515,EDUTEC LABIMPORT SOCIEDAD ANONIMA CERRADA - EDUTEC LABIMPORT S.A.C.,PEN,0,NIU,5036,FRASCO PLASTICO NATURAL 500ML CON TAPON Y TAPA B28MM ,24,"1,05932","1,2499976",0,"25,42368",10,"4,5762624",,0,0,"29,9999424",NO
10/04/2025,03,BQQ1,19,-,-,VARIOS,PEN,0,NIU,5037,FRASCO PLASTICO NATURAL 1LT CON TAPA Y TAPON N28 ,1,"2,5423728814",3,0,"2,5423728814",10,"0,4576271186",,0,0,3,NO
10/04/2025,03,BQQ1,19,-,-,VARIOS,PEN,0,NIU,5064,GATILLO PULVERIZADOR 28/410 ,1,"1,6949152542",2,0,"1,6949152542",10,"0,3050847458",,0,0,2,NO
11/04/2025,03,BQQ1,20,-,-,VARIOS,PEN,0,NIU,5052,FRASCO VIDRIO AMBAR 250ML HOMBRO CAIDO C/TAPA Y TAPON ,2,"2,5423728814",3,0,"5,0847457627",10,"0,9152542373",,0,0,6,NO
11/04/2025,01,FQQ1,6,6,20509859541,V & J INGENIERIA Y CONSTRUCCION S.A. - V & J I C S.A.,PEN,0,NIU,5018,FRASCO BULLET 30ML CON TAPA ATOMIZADOR ,25,"1,0169491525","1,2",0,"25,4237288136",10,"4,5762711864",,0,0,30,NO
14/04/2025,03,BQQ1,21,-,-,VARIOS,PEN,0,NIU,5013,FRASCO PARA RIMEL 5ML(9CM X 1CM) CON TAPA ,1,"2,1186440678","2,5",0,"2,1186440678",10,"0,3813559322",,0,0,"2,5",NO
14/04/2025,03,BQQ1,21,-,-,VARIOS,PEN,0,NIU,5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON ,1,"1,2711864407","1,5",0,"1,2711864407",10,"0,2288135593",,0,0,"1,5",NO
14/04/2025,03,BQQ1,21,-,-,VARIOS,PEN,0,NIU,5015,POTE PLASTICO 1KG B110 BLANCO C/TAPA ,2,"1,3559322034","1,6",0,"2,7118644068",10,"0,4881355932",,0,0,"3,2",NO
14/04/2025,03,BQQ1,21,-,-,VARIOS,PEN,0,NIU,5054,FRASCO PLASTICO NATURAL 60ML CON TAPA Y TAPON B/28 ,2,"1,2711864407","1,5",0,"2,5423728814",10,"0,4576271187",,0,0,"3,0000000001",NO
14/04/2025,03,BQQ1,21,-,-,VARIOS,PEN,0,NIU,5007,TAPA DISPENSADORA BLANCO B28MM ,2,"1,6949152542",2,0,"3,3898305084",10,"0,6101694915",,0,0,"3,9999999999",NO
14/04/2025,03,BQQ1,21,-,-,VARIOS,PEN,0,NIU,5018,FRASCO BULLET 30ML CON TAPA ATOMIZADOR ,1,"1,2711864407","1,5",0,"1,2711864407",10,"0,2288135593",,0,0,"1,5",NO
14/04/2025,03,BQQ1,21,-,-,VARIOS,PEN,0,NIU,5067,PIPETAS PASTEUR ESTRILES 3ML BX200 ,2,"0,4237288136","0,5",0,"0,8474576272",10,"0,1525423729",,0,0,"1,0000000001",NO
14/04/2025,03,BQQ1,22,-,-,VARIOS,PEN,0,NIU,5066,PISETA 500 ML ,1,"5,9322033898",7,0,"5,9322033898",10,"1,0677966102",,0,0,7,NO
14/04/2025,03,BQQ1,22,-,-,VARIOS,PEN,0,NIU,5065,PISETA 250ML ,1,"4,2372881356",5,0,"4,2372881356",10,"0,7627118644",,0,0,5,NO
14/04/2025,03,BQQ1,23,1,42128511,MUNDACA LOPEZ WALTER ENRIQUE,PEN,0,NIU,5070,FRASCO PET TRANSPARENTE 60ML CON TAPA Y TAPON N°28 ,2000,"0,7627118644","0,9",0,"1525,4237288",10,"274,576271184",,0,0,"1799,999999984",NO
15/04/2025,03,BQQ1,24,-,-,VARIOS,PEN,0,NIU,5037,FRASCO PLASTICO NATURAL 1LT CON TAPA Y TAPON N28 ,3,"1,3559322034","1,6",0,"4,0677966102",10,"0,7322033898",,0,0,"4,8",NO
15/04/2025,03,BQQ1,24,-,-,VARIOS,PEN,0,NIU,5036,FRASCO PLASTICO NATURAL 500ML CON TAPON Y TAPA B28MM ,3,"1,1440677966","1,35",0,"3,4322033898",10,"0,6177966102",,0,0,"4,05",NO
15/04/2025,03,BQQ1,25,-,-,VARIOS,PEN,0,NIU,5007,TAPA DISPENSADORA BLANCO B28MM ,3,"1,6949152542",2,0,"5,0847457626",10,"0,9152542373",,0,0,"5,9999999999",NO
